station_id,name,country,latitude,longitude,status,valid_from,valid_to,precipitation_observations,first_precipitation_date,last_precipitation_date,min_precipitation_mm,max_precipitation_mm,avg_precipitation_mm,total_precipitation_sample_mm
05408,H. C. Andersen Airport,DNK,55.4749,10.3305,Active,2018-11-26T00:00:00Z,,2261,2019-05-16T00:00:00.001000+02:00,2025-09-24T00:00:00.001000+02:00,0.0,69.8,1.95,4418.7
05435,Bøjden,DNK,55.0978,10.1009,Active,2009-12-09T00:00:00Z,2011-11-01T00:00:00Z,5035,2011-12-13T00:00:00.001000+01:00,2025-09-24T00:00:00.001000+02:00,0.0,51.7,1.78,8965.7
05440,Ulbølle,DNK,55.0721,10.4249,Active,2009-12-09T00:00:00Z,2011-11-01T00:00:00Z,5035,2011-12-13T00:00:00.001000+01:00,2025-09-24T00:00:00.001000+02:00,0.0,72.1,2.03,10219.1
05450,Søndenbro,DNK,54.7567,10.7094,Active,2009-12-09T00:00:00Z,,5035,2011-12-13T00:00:00.001000+01:00,2025-09-24T00:00:00.001000+02:00,0.0,62.9,1.7,8571.0
05455,Rudkøbing,DNK,54.9463,10.7234,Active,2009-12-09T00:00:00Z,,5035,2011-12-13T00:00:00.001000+01:00,2025-09-24T00:00:00.001000+02:00,0.0,121.6,1.79,9032.5
05469,Juelsberg,DNK,55.3474,10.7618,Active,2020-08-20T08:22:42Z,,5035,2011-12-13T00:00:00.001000+01:00,2025-09-24T00:00:00.001000+02:00,0.0,85.6,1.77,8927.3
05499,Mulstrup,DNK,55.4026,11.8648,Active,2010-04-13T00:00:00Z,2011-06-21T00:00:00Z,5035,2011-12-13T00:00:00.001000+01:00,2025-09-24T00:00:00.001000+02:00,0.0,57.4,1.77,8904.6
05505,Tåstrup Huse,DNK,55.5633,11.709,Inactive,2023-08-16T00:00:00Z,,4342,2011-12-13T00:00:00.001000+01:00,2025-09-24T00:00:00.001000+02:00,0.0,41.5,1.8,7819.8
05510,Rye,DNK,55.5184,11.2328,Active,2022-12-16T08:04:04Z,2024-11-14T16:09:33Z,5035,2011-12-13T00:00:00.001000+01:00,2025-09-24T00:00:00.001000+02:00,0.0,74.4,1.65,8332.5
05529,Havnsø,DNK,55.7489,11.3374,Active,2010-04-13T00:00:00Z,2011-09-22T00:00:00Z,5035,2011-12-13T00:00:00.001000+01:00,2025-09-24T00:00:00.001000+02:00,0.0,41.1,1.7,8571.9
05537,Mørkøv Syd,DNK,55.6366,11.4942,Active,2012-03-01T00:00:00Z,,4956,2012-03-01T00:00:00.001000+01:00,2025-09-24T00:00:00.001000+02:00,0.0,86.2,1.82,9035.6
05545,Kollekolle,DNK,55.8687,11.6064,Active,2009-12-08T00:00:00Z,2015-07-22T00:00:00Z,5035,2011-12-13T00:00:00.001000+01:00,2025-09-24T00:00:00.001000+02:00,0.0,43.8,1.87,9434.2
05575,Græsted,DNK,56.0429,12.2918,Active,2009-12-08T00:00:00Z,2011-09-19T00:00:00Z,5035,2011-12-13T00:00:00.001000+01:00,2025-09-24T00:00:00.001000+02:00,0.0,63.4,1.89,9532.3
05735,Botanisk Have,DNK,55.6858,12.5768,Active,2010-01-14T00:00:00Z,2012-07-24T00:00:00Z,5035,2011-12-13T00:00:00.001000+01:00,2025-09-24T00:00:00.001000+02:00,0.0,126.7,1.84,9247.1
05880,Møllebjerggård,DNK,55.2931,12.4218,Active,2011-11-11T00:00:00Z,,5035,2011-12-13T00:00:00.001000+01:00,2025-09-24T00:00:00.001000+02:00,0.0,81.8,1.61,8120.2
05889,Orup,DNK,55.2076,12.0981,Active,2010-04-13T00:00:00Z,2011-06-21T00:00:00Z,5035,2011-12-13T00:00:00.001000+01:00,2025-09-24T00:00:00.001000+02:00,0.0,104.1,1.88,9450.6
05935,Køng,DNK,55.0987,11.8285,Active,2009-12-08T00:00:00Z,2011-06-21T00:00:00Z,5035,2011-12-13T00:00:00.001000+01:00,2025-09-24T00:00:00.001000+02:00,0.0,114.1,1.67,8416.9
05945,Nørreby,DNK,54.98,11.5336,Active,2012-03-13T00:00:00Z,,5035,2011-12-13T00:00:00.001000+01:00,2025-09-24T00:00:00.001000+02:00,0.0,135.0,1.67,8415.9
05960,Nakskov,DNK,54.8238,11.1539,Inactive,2019-04-23T00:00:00Z,,2719,2011-12-13T00:00:00.001000+01:00,2020-09-18T00:00:00.001000+02:00,0.0,38.4,1.77,4808.0
05970,Rødbyhavn,DNK,54.6573,11.3515,Active,2009-12-21T00:00:00Z,,5035,2011-12-13T00:00:00.001000+01:00,2025-09-24T00:00:00.001000+02:00,0.0,59.6,1.62,8154.1
05981,Bjørup,DNK,54.7793,11.9312,Active,2024-11-14T16:10:19Z,,929,2023-02-27T00:00:00.001000+01:00,2025-09-24T00:00:00.001000+02:00,0.0,69.5,1.94,1801.6
05986,Ny Borre,DNK,54.96,12.24,Active,2011-06-20T00:00:00Z,2012-09-27T00:00:00Z,5035,2011-12-13T00:00:00.001000+01:00,2025-09-24T00:00:00.001000+02:00,0.0,109.3,1.71,8598.8
05994,Østerlars,DNK,55.163,14.9683,Active,2010-04-13T00:00:00Z,,5035,2011-12-13T00:00:00.001000+01:00,2025-09-24T00:00:00.001000+02:00,0.0,61.7,1.99,10038.1
06019,Silstrup,DNK,56.93,8.6412,Active,2019-01-30T15:20:15Z,,5035,2011-12-13T00:00:00.001000+01:00,2025-09-24T00:00:00.001000+02:00,0.0,55.6,2.38,12004.5
